Instance Init Pivot Neighborhood Cost Time
N-t59d11xx_250 cw best exchange 3665139 0.658502
N-t59d11xx_250 cw best insert 3752057 0.833379
N-t59f11xx_150 random first transpose 1017299 2e-05
N-t59f11xx_150 random first exchange 1489560 0.28021
N-t59f11xx_150 random first insert 1514993 0.306925
N-t59f11xx_150 random best transpose 1020804 4.3e-05
N-t59f11xx_150 random best exchange 1490221 0.068918
N-t59f11xx_150 random best insert 1518942 0.09901
N-t59f11xx_150 cw first transpose 967152 0.000314
N-t59f11xx_150 cw first exchange 1490064 0.306348
N-t59f11xx_150 cw first insert 1517386 0.314258
N-t59f11xx_150 cw best transpose 966921 0.000314
N-t59f11xx_150 cw best exchange 1479998 0.070493
N-t59f11xx_150 cw best insert 1500547 0.077805
N-t59f11xx_250 random first transpose 2807380 7.3e-05
N-t59f11xx_250 random first exchange 3867492 3.83245
N-t59f11xx_250 random first insert 3926619 3.49773
N-t59f11xx_250 random best transpose 2812452 0.000109
N-t59f11xx_250 random best exchange 3858154 0.725414
N-t59f11xx_250 random best insert 3886358 0.760959
N-t59f11xx_250 cw first transpose 2789282 0.001513
N-t59f11xx_250 cw first exchange 3855940 3.37262
N-t59f11xx_250 cw first insert 3915502 3.58633
N-t59f11xx_250 cw best transpose 2789103 0.001533
N-t59f11xx_250 cw best exchange 3814382 0.612785
N-t59f11xx_250 cw best insert 3895163 0.804201
N-t59n11xx_150 random first transpose 201789 3e-05
N-t59n11xx_150 random first exchange 309357 0.374785
N-t59n11xx_150 random first insert 311760 0.29572
N-t59n11xx_150 random best transpose 202344 5.1e-05
N-t59n11xx_150 random best exchange 309362 0.088051
N-t59n11xx_150 random best insert 315761 0.1029
N-t59n11xx_150 cw first transpose 195628 0.000305
N-t59n11xx_150 cw first exchange 309440 0.324036
N-t59n11xx_150 cw first insert 314519 0.345933
N-t59n11xx_150 cw best transpose 195738 0.000313
N-t59n11xx_150 cw best exchange 304199 0.061625
N-t59n11xx_150 cw best insert 312549 0.099841
N-t59n11xx_250 random first transpose 551214 5.8e-05
N-t59n11xx_250 random first exchange 804222 4.38523
N-t59n11xx_250 random first insert 807724 3.2
N-t59n11xx_250 random best transpose 551318 0.000104
N-t59n11xx_250 random best exchange 790131 0.671404
N-t59n11xx_250 random best insert 803197 0.801481
N-t59n11xx_250 cw first transpose 544601 0.002889
N-t59n11xx_250 cw first exchange 803073 3.77366
N-t59n11xx_250 cw first insert 803472 4.04324
N-t59n11xx_250 cw best transpose 544540 0.001588
N-t59n11xx_250 cw best exchange 787679 0.62568
N-t59n11xx_250 cw best insert 789816 0.776526
N-t65b11xx_150 random first transpose 4321260 2.3e-05
N-t65b11xx_150 random first exchange 6288862 0.418476
N-t65b11xx_150 random first insert 6357867 0.453775
N-t65b11xx_150 random best transpose 4336920 6.3e-05
N-t65b11xx_150 random best exchange 6155506 0.082059
N-t65b11xx_150 random best insert 6298106 0.100045
N-t65b11xx_150 cw first transpose 3925832 0.000314
N-t65b11xx_150 cw first exchange 6237299 0.379332
N-t65b11xx_150 cw first insert 6315427 0.43424
N-t65b11xx_150 cw best transpose 3920511 0.00035
N-t65b11xx_150 cw best exchange 6185514 0.070936
N-t65b11xx_150 cw best insert 6323405 0.097978
N-t65b11xx_250 random first transpose 10983195 5.9e-05
N-t65b11xx_250 random first exchange 16760124 5.03049
N-t65b11xx_250 random first insert 16780305 4.82432
N-t65b11xx_250 random best transpose 11094873 0.000166
N-t65b11xx_250 random best exchange 16567664 0.751091
N-t65b11xx_250 random best insert 16880766 0.834557
N-t65b11xx_250 cw first transpose 11005395 0.001414
N-t65b11xx_250 cw first exchange 16748827 5.56323
N-t65b11xx_250 cw first insert 16742061 4.74475
N-t65b11xx_250 cw best transpose 11007178 0.001777
N-t65b11xx_250 cw best exchange 16520607 0.77957
N-t65b11xx_250 cw best insert 16672573 0.790785
N-t65d11xx_150 random first transpose 2385962 3.7e-05
N-t65d11xx_150 random first exchange 3451744 0.35329
N-t65d11xx_150 random first insert 3511088 0.390992
N-t65d11xx_150 random best transpose 2398550 5.7e-05
N-t65d11xx_150 random best exchange 3436373 0.082828
N-t65d11xx_150 random best insert 3449880 0.100074
N-t65d11xx_150 cw first transpose 2319939 0.000335
N-t65d11xx_150 cw first exchange 3456502 0.373347
N-t65d11xx_150 cw first insert 3500714 0.416176
N-t65d11xx_150 cw best transpose 2320601 0.000314
N-t65d11xx_150 cw best exchange 3417591 0.075303
N-t65d11xx_150 cw best insert 3472923 0.093482
N-t65d11xx_250 random first transpose 6291686 6.4e-05
N-t65d11xx_250 random first exchange 9075505 4.43169
N-t65d11xx_250 random first insert 9087435 4.60265
N-t65d11xx_250 random best transpose 6318920 0.000117
N-t65d11xx_250 random best exchange 8968092 0.746521
N-t65d11xx_250 random best insert 9105394 0.971223
N-t65d11xx_250 cw first transpose 6452831 0.001487
N-t65d11xx_250 cw first exchange 9077387 4.55244
N-t65d11xx_250 cw first insert 9166090 4.72011
N-t65d11xx_250 cw best transpose 6455880 0.001477
N-t65d11xx_250 cw best exchange 9041206 0.787251
N-t65d11xx_250 cw best insert 9157085 0.792608
N-t65f11xx_150 random first transpose 2143139 2.9e-05
N-t65f11xx_150 random first exchange 3060658 0.345314
N-t65f11xx_150 random first insert 3077304 0.39422
N-t65f11xx_150 random best transpose 2144084 4.7e-05
N-t65f11xx_150 random best exchange 3053624 0.073822
N-t65f11xx_150 random best insert 3094701 0.087476
N-t65f11xx_150 cw first transpose 2049699 0.000309
N-t65f11xx_150 cw first exchange 3059387 0.38982
N-t65f11xx_150 cw first insert 3082775 0.346404
N-t65f11xx_150 cw best transpose 2049880 0.000349
N-t65f11xx_150 cw best exchange 3015107 0.079392
N-t65f11xx_150 cw best insert 3078117 0.090527
N-t65f11xx_250 random first transpose 5792510 8.4e-05
N-t65f11xx_250 random first exchange 8149745 4.88163
N-t65f11xx_250 random first insert 8253745 4.59002
N-t65f11xx_250 random best transpose 5797863 0.000204
N-t65f11xx_250 random best exchange 8104673 0.81287
N-t65f11xx_250 random best insert 8196647 0.848244
N-t65f11xx_250 cw first transpose 5795638 0.001665
N-t65f11xx_250 cw first exchange 8207894 4.95645
N-t65f11xx_250 cw first insert 8200388 4.37442
N-t65f11xx_250 cw best transpose 5797729 0.00176
N-t65f11xx_250 cw best exchange 8148597 0.81641
N-t65f11xx_250 cw best insert 8201879 0.737432
N-t65l11xx_150 random first transpose 128191 1.8e-05
N-t65l11xx_150 random first exchange 250051 0.297841
N-t65l11xx_150 random first insert 248920 0.220413
N-t65l11xx_150 random best transpose 128369 2.1e-05
N-t65l11xx_150 random best exchange 247080 0.072328
N-t65l11xx_150 random best insert 249865 0.093925
N-t65l11xx_150 cw first transpose 155563 0.000355
N-t65l11xx_150 cw first exchange 249401 0.269318
N-t65l11xx_150 cw first insert 248966 0.21134
N-t65l11xx_150 cw best transpose 155563 0.000343
N-t65l11xx_150 cw best exchange 248218 0.074279
N-t65l11xx_150 cw best insert 248577 0.082808
N-t65l11xx_250 random first transpose 395635 3.2e-05
N-t65l11xx_250 random first exchange 652205 4.34423
N-t65l11xx_250 random first insert 653157 2.84498
N-t65l11xx_250 random best transpose 396207 5.1e-05
N-t65l11xx_250 random best exchange 642843 0.638738
N-t65l11xx_250 random best insert 651004 0.84944
N-t65l11xx_250 cw first transpose 415866 0.00142
N-t65l11xx_250 cw first exchange 652654 3.41386
N-t65l11xx_250 cw first insert 655987 2.66002
N-t65l11xx_250 cw best transpose 415873 0.001392
N-t65l11xx_250 cw best exchange 646968 0.560517
N-t65l11xx_250 cw best insert 654588 0.642207
N-t65n11xx_150 random first transpose 342935 2.6e-05
N-t65n11xx_150 random first exchange 535610 0.399818
N-t65n11xx_150 random first insert 540462 0.412718
N-t65n11xx_150 random best transpose 346166 5e-05
N-t65n11xx_150 random best exchange 531415 0.068649
N-t65n11xx_150 random best insert 539303 0.104697
N-t65n11xx_150 cw first transpose 336868 0.00032
N-t65n11xx_150 cw first exchange 531044 0.344858
N-t65n11xx_150 cw first insert 530796 0.29696
N-t65n11xx_150 cw best transpose 336870 0.000319
N-t65n11xx_150 cw best exchange 524371 0.073389
N-t65n11xx_150 cw best insert 532053 0.08139
N-t65n11xx_250 random first transpose 952838 7.9e-05
N-t65n11xx_250 random first exchange 1390315 4.79615
N-t65n11xx_250 random first insert 1395804 4.26328
N-t65n11xx_250 random best transpose 955134 0.000108
N-t65n11xx_250 random best exchange 1373112 0.807262
N-t65n11xx_250 random best insert 1388620 0.802868
N-t65n11xx_250 cw first transpose 961447 0.001394
N-t65n11xx_250 cw first exchange 1392814 4.84552
N-t65n11xx_250 cw first insert 1399200 4.19108
N-t65n11xx_250 cw best transpose 961639 0.001466
N-t65n11xx_250 cw best exchange 1374152 0.751386
N-t65n11xx_250 cw best insert 1396264 0.803038
N-t69r11xx_150 random first transpose 7600701 2.7e-05
N-t69r11xx_150 random first exchange 11426358 0.326908
N-t69r11xx_150 random first insert 11590407 0.324263
N-t69r11xx_150 random best transpose 7609678 4.3e-05
N-t69r11xx_150 random best exchange 11418554 0.081033
N-t69r11xx_150 random best insert 11597668 0.084422
N-t69r11xx_150 cw first transpose 7345693 0.000318
N-t69r11xx_150 cw first exchange 11429109 0.342271
N-t69r11xx_150 cw first insert 11493670 0.349826
N-t69r11xx_150 cw best transpose 7345021 0.000317
N-t69r11xx_150 cw best exchange 11341825 0.075941
N-t69r11xx_150 cw best insert 11372981 0.081206
N-t69r11xx_250 random first transpose 21060290 5.9e-05
N-t69r11xx_250 random first exchange 30982032 5.38131
N-t69r11xx_250 random first insert 31210160 4.43345
N-t69r11xx_250 random best transpose 21165097 0.001105
N-t69r11xx_250 random best exchange 30474224 0.768851
N-t69r11xx_250 random best insert 30985808 0.855637
N-t69r11xx_250 cw first transpose 20090763 0.001692
N-t69r11xx_250 cw first exchange 30775347 5.54348
N-t69r11xx_250 cw first insert 31105714 4.29348
N-t69r11xx_250 cw best transpose 20093867 0.001764
N-t69r11xx_250 cw best exchange 30595609 0.812667
N-t69r11xx_250 cw best insert 30696654 0.727766
N-t70b11xx_150 random first transpose 6051685 2.9e-05
N-t70b11xx_150 random first exchange 9387680 0.30847
N-t70b11xx_150 random first insert 9434392 0.359623
N-t70b11xx_150 random best transpose 6107362 4.6e-05
N-t70b11xx_150 random best exchange 9287815 0.074083
N-t70b11xx_150 random best insert 9420264 0.09666
N-t70b11xx_150 cw first transpose 5716124 0.000312
N-t70b11xx_150 cw first exchange 9361646 0.425714
N-t70b11xx_150 cw first insert 9473141 0.495758
N-t70b11xx_150 cw best transpose 5717612 0.00032
N-t70b11xx_150 cw best exchange 9167215 0.068058
N-t70b11xx_150 cw best insert 9453721 0.086696
N-t70b11xx_250 random first transpose 16816083 6.5e-05
N-t70b11xx_250 random first exchange 24607212 4.53479
N-t70b11xx_250 random first insert 25041550 4.7607
N-t70b11xx_250 random best transpose 16847159 0.00013
N-t70b11xx_250 random best exchange 24549727 0.833813
N-t70b11xx_250 random best insert 24902582 0.907279
N-t70b11xx_250 cw first transpose 16175216 0.001424
N-t70b11xx_250 cw first exchange 24691369 5.40403
N-t70b11xx_250 cw first insert 24841101 4.98723
N-t70b11xx_250 cw best transpose 16177538 0.001576
N-t70b11xx_250 cw best exchange 24364524 0.824834
N-t70b11xx_250 cw best insert 24771991 0.775
N-t70d11xn_150 random first transpose 3608392 3.2e-05
N-t70d11xn_150 random first exchange 5632012 0.403261
N-t70d11xn_150 random first insert 5738585 0.484255
N-t70d11xn_150 random best transpose 3608272 6.1e-05
N-t70d11xn_150 random best exchange 5581792 0.09407
N-t70d11xn_150 random best insert 5651154 0.097187
N-t70d11xn_150 cw first transpose 3642787 0.000307
N-t70d11xn_150 cw first exchange 5658712 0.413733
N-t70d11xn_150 cw first insert 5723166 0.408825
N-t70d11xn_150 cw best transpose 3644631 0.000324
N-t70d11xn_150 cw best exchange 5647378 0.090715
N-t70d11xn_150 cw best insert 5710040 0.093345
N-t70d11xn_250 random first transpose 10647818 9.9e-05
N-t70d11xn_250 random first exchange 14702964 5.30638
N-t70d11xn_250 random first insert 14899122 4.78707
N-t70d11xn_250 random best transpose 10690780 0.000184
N-t70d11xn_250 random best exchange 14630692 0.893086
N-t70d11xn_250 random best insert 14903631 0.938517
N-t70d11xn_250 cw first transpose 10102929 0.001491
N-t70d11xn_250 cw first exchange 14857584 5.20334
N-t70d11xn_250 cw first insert 14870685 5.07152
N-t70d11xn_250 cw best transpose 10101033 0.001495
N-t70d11xn_250 cw best exchange 14484063 0.812228
N-t70d11xn_250 cw best insert 14816326 0.82522
N-t70d11xx_150 random first transpose 4283429 3.3e-05
N-t70d11xx_150 random first exchange 5968613 0.383761
N-t70d11xx_150 random first insert 6029183 0.451515
N-t70d11xx_150 random best transpose 4258714 8.4e-05
N-t70d11xx_150 random best exchange 5913842 0.081486
N-t70d11xx_150 random best insert 6019988 0.101758
N-t70d11xx_150 cw first transpose 3900102 0.000305
N-t70d11xx_150 cw first exchange 5934909 0.357667
N-t70d11xx_150 cw first insert 6011765 0.424662
N-t70d11xx_150 cw best transpose 3894170 0.000317
N-t70d11xx_150 cw best exchange 5919390 0.08821
N-t70d11xx_150 cw best insert 6074500 0.089688
N-t70d11xx_250 random first transpose 11072864 9.3e-05
N-t70d11xx_250 random first exchange 15546031 5.51989
N-t70d11xx_250 random first insert 15716652 4.80548
N-t70d11xx_250 random best transpose 11066730 0.000187
N-t70d11xx_250 random best exchange 15410487 0.969629
N-t70d11xx_250 random best insert 15576665 0.818976
N-t70d11xx_250 cw first transpose 10877934 0.001723
N-t70d11xx_250 cw first exchange 15678152 6.15718
N-t70d11xx_250 cw first insert 15686610 4.99056
N-t70d11xx_250 cw best transpose 10881027 0.001459
N-t70d11xx_250 cw best exchange 15437331 0.791108
N-t70d11xx_250 cw best insert 15636166 0.730742
N-t70f11xx_150 random first transpose 3241715 3.7e-05
N-t70f11xx_150 random first exchange 4944910 0.312735
N-t70f11xx_150 random first insert 5037388 0.356415
N-t70f11xx_150 random best transpose 3248829 5.9e-05
N-t70f11xx_150 random best exchange 4932812 0.073146
N-t70f11xx_150 random best insert 5053851 0.106179
N-t70f11xx_150 cw first transpose 3453866 0.000312
N-t70f11xx_150 cw first exchange 4928825 0.309213
N-t70f11xx_150 cw first insert 5060945 0.375389
N-t70f11xx_150 cw best transpose 3457815 0.000312
N-t70f11xx_150 cw best exchange 4974932 0.082617
N-t70f11xx_150 cw best insert 5055447 0.081339
