Instance	--random --first --transpose	--random --best --transpose	--cw --first --transpose	--cw --best --transpose	--random --first --exchange	--random --best --exchange	--cw --first --exchange	--cw --best --exchange	--random --first --insert	--random --best --insert	--cw --first --insert	--cw --best --insert	--vnd0	--vnd1
N-t59b11xx_150	0.0002	0.000523	0.001781	0.002049	0.334221	0.074987	0.256629	0.076134	0.386718	0.122136	0.241904	0.116045	0.233618	0.18506											
N-t59b11xx_250	0.000974	0.001545	0.008176	0.008907	4.06907	1.00661	4.35092	0.903445	4.57311	1.16613	3.12921	0.90498	2.91167	2.42881											
N-t59d11xx_150	0.000323	0.000633	0.001871	0.002073	0.364321	0.085848	0.331418	0.086141	0.421631	0.124181	0.300507	0.107362	0.222553	0.20183											
N-t59d11xx_250	0.001041	0.002218	0.008357	0.009211	4.84902	0.928749	4.11335	0.91694	5.11874	1.12335	3.20941	0.995438	2.36998	2.32794											
N-t59f11xx_150	0.000264	0.000597	0.001969	0.002051	0.365034	0.08563	0.269177	0.081795	0.406907	0.128863	0.263282	0.102642	0.266951	0.213768											
N-t59f11xx_250	0.001505	0.003023	0.008667	0.009922	5.06409	1.00018	4.03095	0.846431	4.79177	1.15538	3.39387	1.02031	3.34676	2.33826											
N-t59n11xx_150	0.000317	0.000626	0.002066	0.002148	0.495866	0.111214	0.298595	0.08201	0.401944	0.146195	0.281165	0.114124	0.232894	0.201363											
N-t59n11xx_250	0.001172	0.002323	0.008391	0.009545	5.53287	0.868626	4.28869	1.0314	4.13331	1.07857	3.30552	1.07462	2.9994	2.45261											
N-t65b11xx_150	0.000294	0.000808	0.002053	0.002423	0.523937	0.09978	0.404908	0.07525	0.561164	0.126293	0.376886	0.111012	0.298091	0.223727											
N-t65b11xx_250	0.001335	0.002903	0.008532	0.009904	6.36586	0.988534	6.33889	0.9136	6.84496	1.08899	4.05693	0.995264	2.97423	2.54501											
N-t65d11xx_150	0.000486	0.000944	0.002052	0.002277	0.445037	0.108411	0.395234	0.089428	0.497062	0.128412	0.383879	0.099024	0.190019	0.208937											
N-t65d11xx_250	0.001414	0.002937	0.008693	0.010048	6.17612	0.998117	4.95577	1.04604	6.10013	1.36868	3.94774	1.18272	2.75666	2.39508											
N-t65f11xx_150	0.000432	0.000706	0.002796	0.003008	0.469849	0.092916	0.367254	0.082458	0.490151	0.11592	0.298654	0.089654	0.225958	0.181895											
N-t65f11xx_250	0.002358	0.004547	0.008839	0.009974	6.53963	1.00564	5.27381	0.92481	6.11695	1.10372	4.25485	1.00297	3.81309	2.59318											
N-t65l11xx_150	0.000154	0.000262	0.001979	0.002238	0.420942	0.083135	0.306527	0.083503	0.294638	0.122229	0.188873	0.099056	0.295723	0.189908											
N-t65l11xx_250	0.000426	0.000922	0.008494	0.008779	6.14838	0.893847	3.40169	0.843552	3.60281	1.11288	2.1582	1.17854	3.12995	1.84758											
N-t65n11xx_150	0.000391	0.000897	0.00203	0.002238	0.566171	0.091716	0.315503	0.094915	0.584921	0.143875	0.309348	0.109119	0.234974	0.171497											
N-t65n11xx_250	0.001471	0.002581	0.008677	0.009645	6.32775	1.07869	5.84091	0.955423	5.99968	1.14753	3.82848	1.09227	3.43044	2.26382											
N-t69r11xx_150	0.000363	0.000678	0.0019	0.002247	0.423553	0.094334	0.452636	0.11564	0.438401	0.113643	0.350179	0.11148	0.282244	0.212246											
N-t69r11xx_250	0.001435	0.002761	0.008853	0.010101	7.44448	1.00584	6.11351	0.985794	5.95779	1.16135	4.28477	0.943385	3.09675	2.90806											
N-t70b11xx_150	0.000369	0.000828	0.001949	0.002398	0.40478	0.084488	0.369684	0.118821	0.45837	0.13281	0.329741	0.13034	0.237531	0.203388											
N-t70b11xx_250	0.001617	0.003288	0.009021	0.010098	6.33235	1.26822	5.83939	1.10164	6.20184	1.17931	4.01633	1.06647	3.50584	2.50579											
N-t70d11xn_150	0.000548	0.000973	0.002025	0.002449	0.495158	0.107275	0.425212	0.099645	0.612507	0.125881	0.386232	0.102863	0.243056	0.212467											
N-t70d11xn_250	0.002547	0.004869	0.008868	0.010102	6.82813	1.12354	4.85523	1.12951	6.68389	1.24007	4.30192	1.02853	3.32311	2.72104											
N-t70d11xx_150	0.000532	0.001172	0.002209	0.002494	0.512802	0.101703	0.397866	0.078666	0.644938	0.138275	0.441316	0.121333	0.191131	0.246258											
N-t70d11xx_250	0.002449	0.003878	0.008935	0.010547	7.62547	1.32353	6.47731	1.0202	6.34221	1.05131	4.34714	1.08298	3.27202	2.33256											
N-t70f11xx_150	0.000473	0.000929	0.002106	0.00225	0.412399	0.083433	0.244166	0.084562	0.448996	0.13241	0.330153	0.113238	0.320118	0.20081											
N-t70f11xx_250	0.001874	0.003081	0.008554	0.009716	5.6278	0.826569	4.76231	0.95361	5.8952	1.14513	3.6294	0.92855	2.76582	2.17375											
N-t70l11xx_150	0.000233	0.000397	0.001909	0.001885	0.368317	0.072726	0.338408	0.091814	0.293279	0.116231	0.187758	0.100467	0.327243	0.163894											
N-t70l11xx_250	0.000687	0.001234	0.00792	0.008149	5.70629	0.94773	4.6246	0.73591	3.78069	1.10964	2.53531	0.949366	3.76326	2.11087											
N-t70n11xx_150	0.000512	0.000761	0.00195	0.002247	0.548409	0.090655	0.472134	0.095974	0.572941	0.12366	0.328531	0.097528	0.235428	0.182166											
N-t70n11xx_250	0.001926	0.00363	0.008514	0.009889	6.57005	1.0732	5.6269	0.800631	5.43228	1.11299	3.7372	0.960003	3.51849	2.53718											
N-t74d11xx_150	0.000565	0.001116	0.00211	0.002598	0.515784	0.096299	0.427295	0.073866	0.455689	0.132415	0.280965	0.089306	0.288407	0.162581											
N-t74d11xx_250	0.002036	0.003542	0.008604	0.009668	7.1012	0.938515	5.80975	1.11482	5.77765	1.1125	3.89099	0.950422	2.77676	2.0792											
N-t75d11xx_150	0.000529	0.001061	0.001995	0.002358	0.518417	0.100525	0.37689	0.103444	0.530555	0.125949	0.436836	0.107098	0.196023	0.213752											
N-t75d11xx_250	0.002076	0.004051	0.009188	0.010495	7.54384	1.01709	6.00441	1.02363	5.83425	1.21364	4.59824	1.06372	3.54977	2.6606											
N-t75e11xx_150	0.000519	0.000933	0.002046	0.002575	0.560552	0.108376	0.493569	0.102285	0.531529	0.112993	0.42934	0.101111	0.235586	0.189931											
N-t75e11xx_250	0.001508	0.003408	0.008953	0.010782	7.52958	0.949766	8.19499	1.01857	6.48919	1.16731	4.96205	1.06579	2.86837	2.565											
N-t75k11xx_150	0.000407	0.00093	0.002138	0.002382	0.47145	0.091057	0.424117	0.073917	0.476599	0.114032	0.293455	0.134678	0.240413	0.225385											
