Instance Init Pivot Neighborhood Cost Time
N-t59f11xx_150 cw best exchange 1496990 0.078112
N-t59f11xx_150 cw best insert 1503917 0.071773
N-t59f11xx_250 random first transpose 2807380 4.1e-05
N-t59f11xx_250 random first exchange 3867492 3.93705
N-t59f11xx_250 random first insert 3926619 3.49713
N-t59f11xx_250 random best transpose 2812452 5.6e-05
N-t59f11xx_250 random best exchange 3858154 0.747017
N-t59f11xx_250 random best insert 3886358 0.750424
N-t59f11xx_250 cw first transpose 3325423 0.004826
N-t59f11xx_250 cw first exchange 3877756 3.26731
N-t59f11xx_250 cw first insert 3906930 2.28801
N-t59f11xx_250 cw best transpose 3326323 0.004501
N-t59f11xx_250 cw best exchange 3846266 0.685281
N-t59f11xx_250 cw best insert 3870911 0.726866
N-t59n11xx_150 random first transpose 201789 1.5e-05
N-t59n11xx_150 random first exchange 309357 0.44364
N-t59n11xx_150 random first insert 311760 0.285162
N-t59n11xx_150 random best transpose 202344 1.9e-05
N-t59n11xx_150 random best exchange 309362 0.096262
N-t59n11xx_150 random best insert 315761 0.10193
N-t59n11xx_150 cw first transpose 254275 0.001062
N-t59n11xx_150 cw first exchange 310390 0.265721
N-t59n11xx_150 cw first insert 312709 0.215958
N-t59n11xx_150 cw best transpose 254280 0.000992
N-t59n11xx_150 cw best exchange 307889 0.068844
N-t59n11xx_150 cw best insert 311957 0.090044
N-t59n11xx_250 random first transpose 551214 3.5e-05
N-t59n11xx_250 random first exchange 804222 4.65231
N-t59n11xx_250 random first insert 807724 3.23029
N-t59n11xx_250 random best transpose 551318 4.8e-05
N-t59n11xx_250 random best exchange 790131 0.690355
N-t59n11xx_250 random best insert 803197 0.79946
N-t59n11xx_250 cw first transpose 680399 0.004975
N-t59n11xx_250 cw first exchange 798491 3.65741
N-t59n11xx_250 cw first insert 806125 2.46686
N-t59n11xx_250 cw best transpose 680402 0.004393
N-t59n11xx_250 cw best exchange 796018 0.805853
N-t59n11xx_250 cw best insert 806475 0.792076
N-t65b11xx_150 random first transpose 4321260 1.7e-05
N-t65b11xx_150 random first exchange 6288862 0.490411
N-t65b11xx_150 random first insert 6357867 0.438119
N-t65b11xx_150 random best transpose 4336920 2.3e-05
N-t65b11xx_150 random best exchange 6155506 0.08903
N-t65b11xx_150 random best insert 6298106 0.096932
N-t65b11xx_150 cw first transpose 5326421 0.000951
N-t65b11xx_150 cw first exchange 6209647 0.387254
N-t65b11xx_150 cw first insert 6365257 0.28133
N-t65b11xx_150 cw best transpose 5325478 0.000989
N-t65b11xx_150 cw best exchange 6210781 0.072334
N-t65b11xx_150 cw best insert 6350136 0.079489
N-t65b11xx_250 random first transpose 10983195 3.4e-05
